Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore
176,7.15,0,N'Ketia SEEDO,07 JUN 2003,NED,2,"ISS Dome, Düsseldorf (GER) (i)",04 FEB 2024,1168
176,7.15,0,Success UMUKORO,09 JAN 2001,NGR,2,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1168
176,7.15,0,Karolína MAŇASOVÁ,26 NOV 2003,CZE,1,"Atletická hala, Ostrava (CZE) (i)",17 FEB 2024,1168
204,7.16,0,Renate STECHER,12 MAY 1950,GDR,1,"Scandinavium, Göteborg (SWE) (i)",10 MAR 1974,1164
204,7.16,0,Olga FROLOVA,02 OCT 1964,URS,3,Moskva (URS) (i),20 FEB 1988,1164
204,7.16,0,Olga ZOLOTARYOVA,01 NOV 1961,URS,4f1,Moskva (URS) (i),25 FEB 1989,1164
204,7.16,0,Galina MALCHUGINA,17 DEC 1962,URS,1h,Chelyabinsk (URS) (i),03 FEB 1990,1164
204,7.16,0,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,5,"Palacio de los Deportes, Sevilla (ESP) (i)",08 MAR 1991,1164
204,7.16,0,Lyudmila ANTONOVA,04 AUG 1970,UKR,sf,Kyiv (UKR) (i),18 JAN 1992,1164
204,7.16,0,Patricia GIRARD,08 APR 1968,FRA,1sf2,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",12 MAR 1994,1164
204,7.16,0,Beverly MCDONALD,15 FEB 1970,JAM,1,Sevilla (ESP) (i),17 FEB 1995,1164
204,7.16,0,Sheila ECHOLS,02 OCT 1964,USA,3sf1,"Atlanta, GA (USA) (i)",04 MAR 1995,1164
204,7.16,0,Odiah SIDIBÉ,13 JAN 1970,FRA,h,Liévin (FRA) (i),16 FEB 1997,1164
204,7.16,0,Juliet CAMPBELL,17 MAR 1970,JAM,4,Birmingham (GBR) (i),17 FEB 2002,1164
204,7.16,0,Irina KOZHEMYAKINA,16 JUN 1980,UKR,2,Zaporozhye (UKR) (i),29 JAN 2004,1164
204,7.16,0,Virgen BENAVIDES,31 DEC 1974,CUB,3,Karlsruhe (GER) (i),15 FEB 2004,1164
204,7.16,0,Sani ROSEBY,05 FEB 1982,USA,1,"Boston, MA (USA) (i)",25 FEB 2007,1164
204,7.16,0,Svetlana NABOKINA,26 JAN 1982,RUS,1,Moskva (RUS) (i),27 JAN 2008,1164
204,7.16,0,Bianca KNIGHT,02 JAN 1989,USA,1h3,"Fayetteville, AR (USA) (i)",14 MAR 2008,1164
204,7.16,+0.7,Sally PEARSON,19 SEP 1986,AUS,1,Gold Coast (AUS),25 JUN 2011,1164
204,7.16,0,Kimberlyn DUNCAN,02 AUG 1991,USA,1f1,"New York, NY (USA) (i)",01 FEB 2013,1164
